Yb	Pb	Ca	Ti	Mo	Sn	Cd	Ag	La	Cs	W	Sb	Ta	V	Fe	Bi	Ce	Nb	Cu	I	B	Te	Al	Zr	Gd	Na	Ga	Cl	S	Si	O	F	Mn	Ba	K	Zn	N	Li	Ge	Y	Sr	P	Mg	Er	As	Tg	target	predicted_target	predicted_Tg
0.0	0.0	0.08196720262295178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0983606411475423	0.0	0.0	0.0	0.0	0.0491803255737707	0.0	0.0	0.0	0.17213118450819342	0.5983606461475419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	833.15	0.5737750077476669	0.5800649	842.28326
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0513740228076368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033452845316601657	0.0	0.0	0.0	0.6586020077957189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2234166687216664	0.0	0.03315445535837625	0.0	0.0	0.0	0.0	970.15	0.668124375882373	0.66806716	970.06696
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2291666931249992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02083332937500012	0.0	0.5624999831250005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18749999437500015	0.0	0.0	0.0	484.15	0.3334251575358974	0.315269	457.78635
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.047619047619047616	0.0	0.0	0.0	0.0	0.047619047619047616	0.0	0.0	0.0	0.0	0.5714285714285714	0.0	0.0	0.0	0.0	0.047619047619047616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	572.15	0.3940291312282634	0.39976734	580.4822
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037766387469652047	0.1915295871675177	0.0	0.0	0.014567039024008391	0.0	0.10898299269813952	0.0	0.00269759881926088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5767466613579738	0.0	0.0	0.001888318873482636	0.0	0.09981116331265208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	618.15	0.4257084811129092	0.43620872	633.3969
0.0	0.0	0.0	0.003814367626191972	0.0	0.0	0.0	0.0	0.07267641287771152	0.0	0.026776857375867973	0.0	0.019122698125975585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1453019857604054	0.0	0.0	0.011468528876084171	0.019122698125975585	0.0	0.0	0.0	0.0	0.019122698125975585	0.6175969394754999	0.0	0.0	0.0	0.0	0.06499681363031225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	882.15	0.607520402190007	0.6035578	876.3962
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6777456390028925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2557803769797661	0.0	0.0	0.06647398401734146	0.0	0.0	0.0	794.15	0.5469164284976411	0.5558109	807.0653
0.0	0.08235294164705884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07058824141176484	0.0	0.0	0.0	0.0	0.0	0.0	0.2352941047058821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6117647122352942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	622.15	0.42846320718983494	0.4157775	603.72974
0.0	0.0	0.016112788920443145	0.003356830775092337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016784148875462028	0.0	0.03961060734608931	0.01174890921282308	0.0	0.027526008155757453	0.0	0.0	0.0	0.20275258641557672	0.6099362591342706	0.0	0.0	0.0	0.008727759415240118	0.0016784158875461355	0.0	0.016112788920443145	0.0	0.0	0.0	0.0	0.04565289694125591	0.0	0.0	955.15	0.6577941530939015	0.6145719	892.3892
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07894735973684322	0.0	0.13157898289473222	0.0	0.0	0.13157898289473222	0.0	0.0	0.0	0.09210524802631774	0.5657894264473744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	808.15	0.5565579697668811	0.5616898	815.6017
